GENE	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01210	1.6254	A10.L4C	L	A
CLUG_01210	1.5005	A11.L11G	L	A
CLUG_01210	1.7644	A12.L10B	L	A
CLUG_01210	1.5469	A13.L3B	L	A
CLUG_01210	1.4514	A14.L4E	L	A
CLUG_01210	1.6149	A15.L4G	L	A
CLUG_01210	1.6705	A16.L7C	L	A
CLUG_01210	1.4742	A17.L1B	L	A
CLUG_01210	1.5590	A18.S4H	S	A
CLUG_01210	1.5825	A19.S3B	S	A
CLUG_01210	1.8278	A2.U10A	U	A
CLUG_01210	1.6423	A20.S1E	S	A
CLUG_01210	1.4820	A21.S8A	S	A
CLUG_01210	1.5907	A22.UpperP	U	A
CLUG_01210	1.6367	A23.LowerP	L	A
CLUG_01210	1.5952	A24.SputuP	S	A
CLUG_01210	1.6558	A3.U3G	U	A
CLUG_01210	1.4783	A4.U3B	U	A
CLUG_01210	1.6970	A5.U10D	U	A
CLUG_01210	1.4926	A6.U5C	U	A
CLUG_01210	1.6624	A7.U3E	U	A
CLUG_01210	1.6034	A8.U2E	U	A
CLUG_01210	1.6859	A9.L3D	L	A
CLUG_01210	1.7023	ATCC42720	UNK	ATCC42720
CLUG_01210	1.6043	B16.1310D	UNK	B
CLUG_01210	1.6676	B17.1311G	UNK	B
CLUG_01210	1.6406	B18.1312G	UNK	B
CLUG_01210	1.4062	B19.1310A	UNK	B
CLUG_01210	1.7287	B20.1311A	UNK	B
CLUG_01210	1.5225	B21.1312A	UNK	B
CLUG_01210	1.4950	B22.134E	UNK	B
CLUG_01210	1.6844	B23.133H	UNK	B
CLUG_01210	1.5188	B24.133F	UNK	B
CLUG_01210	1.5494	B25.135C	UNK	B
CLUG_01210	1.5580	B26.131A	UNK	B
CLUG_01210	1.4959	B27.136A	UNK	B
CLUG_01210	1.3516	B28.13UM	UNK	B
CLUG_01210	1.8796	C10.9M3	UNK	C
CLUG_01210	1.8774	C11.9M41	UNK	C
CLUG_01210	2.0845	C12.9U1	UNK	C
CLUG_01210	1.4866	C13.9U2	UNK	C
CLUG_01210	1.6919	C14.9U3	UNK	C
CLUG_01210	1.4583	C15.9U4s	UNK	C
CLUG_01210	1.6708	C4.9L1	UNK	C
CLUG_01210	1.7944	C5.9L2	UNK	C
CLUG_01210	1.7055	C6.9L3	UNK	C
CLUG_01210	1.8193	C7.9L4	UNK	C
CLUG_01210	2.0462	C8.9M1	UNK	C
CLUG_01210	1.6212	C9.9M2	UNK	C
CLUG_01210	1.3888	ctl1.AL1B	L	A
CLUG_01210	1.4535	ctl2.AL1B	L	A
CLUG_01210	1.5870	ctl3.C9L1	UNK	C
CLUG_01211	1.6794	A10.L4C	L	A
CLUG_01211	1.4622	A11.L11G	L	A
CLUG_01211	1.6488	A12.L10B	L	A
CLUG_01211	1.6097	A13.L3B	L	A
CLUG_01211	1.5948	A14.L4E	L	A
CLUG_01211	1.5349	A15.L4G	L	A
CLUG_01211	1.5790	A16.L7C	L	A
CLUG_01211	1.6833	A17.L1B	L	A
CLUG_01211	1.5250	A18.S4H	S	A
CLUG_01211	1.6277	A19.S3B	S	A
CLUG_01211	1.8824	A2.U10A	U	A
CLUG_01211	1.7974	A20.S1E	S	A
CLUG_01211	1.4785	A21.S8A	S	A
CLUG_01211	1.5613	A22.UpperP	U	A
CLUG_01211	1.7170	A23.LowerP	L	A
CLUG_01211	1.6280	A24.SputuP	S	A
CLUG_01211	1.6273	A3.U3G	U	A
CLUG_01211	1.5198	A4.U3B	U	A
CLUG_01211	1.6801	A5.U10D	U	A
CLUG_01211	1.4819	A6.U5C	U	A
CLUG_01211	1.6180	A7.U3E	U	A
CLUG_01211	1.6088	A8.U2E	U	A
CLUG_01211	1.6887	A9.L3D	L	A
CLUG_01211	1.6862	ATCC42720	UNK	ATCC42720
CLUG_01211	1.7754	B16.1310D	UNK	B
CLUG_01211	1.8318	B17.1311G	UNK	B
CLUG_01211	1.6553	B18.1312G	UNK	B
CLUG_01211	1.5503	B19.1310A	UNK	B
CLUG_01211	1.7514	B20.1311A	UNK	B
CLUG_01211	1.6827	B21.1312A	UNK	B
CLUG_01211	1.5985	B22.134E	UNK	B
CLUG_01211	1.7195	B23.133H	UNK	B
CLUG_01211	1.5471	B24.133F	UNK	B
CLUG_01211	1.5784	B25.135C	UNK	B
CLUG_01211	1.5289	B26.131A	UNK	B
CLUG_01211	1.5039	B27.136A	UNK	B
CLUG_01211	1.4043	B28.13UM	UNK	B
CLUG_01211	2.0351	C10.9M3	UNK	C
CLUG_01211	1.9699	C11.9M41	UNK	C
CLUG_01211	2.1854	C12.9U1	UNK	C
CLUG_01211	1.5250	C13.9U2	UNK	C
CLUG_01211	1.6690	C14.9U3	UNK	C
CLUG_01211	1.5581	C15.9U4s	UNK	C
CLUG_01211	1.8390	C4.9L1	UNK	C
CLUG_01211	1.8809	C5.9L2	UNK	C
CLUG_01211	1.8153	C6.9L3	UNK	C
CLUG_01211	1.9354	C7.9L4	UNK	C
CLUG_01211	2.1128	C8.9M1	UNK	C
CLUG_01211	1.6278	C9.9M2	UNK	C
CLUG_01211	1.5205	ctl1.AL1B	L	A
CLUG_01211	1.4655	ctl2.AL1B	L	A
