CHROM,BIN,MEDIAN_INSERT_SIZE,GC,OBSERVATIONS
Supercontig_1.7,0,230,0.497051804330393,1247
Supercontig_1.7,1,311,0.399470139697322,1718
Supercontig_1.7,2,291,0.454415445026177,1910
Supercontig_1.7,3,233,0.402054847908745,1052
Supercontig_1.7,4,305.5,0.360454620462045,606
Supercontig_1.7,5,326,0.354988063194851,1709
Supercontig_1.7,6,319,0.365192795566498,1624
Supercontig_1.7,7,314,0.373560152422429,1837
Supercontig_1.7,8,301,0.397203605514317,1886
Supercontig_1.7,9,316,0.380541599999997,1750
Supercontig_1.7,10,319,0.425208036219582,1767
Supercontig_1.7,11,312,0.406152681764006,1678
Supercontig_1.7,12,313,0.391537677859984,1757
Supercontig_1.7,13,306,0.444311494252873,1653
Supercontig_1.7,14,291,0.415185315712185,2043
Supercontig_1.7,15,289,0.572559129861569,1517
Supercontig_1.7,16,299.5,0.59407033492823,1672
Supercontig_1.7,17,303,0.452727412415489,1627
Supercontig_1.7,18,303,0.443687024743515,1657
Supercontig_1.7,19,313,0.424803499079188,1629
Supercontig_1.7,20,299,0.480512446351933,1631
Supercontig_1.7,21,296,0.393074222222222,1800
Supercontig_1.7,22,304,0.437031733653269,1667
Supercontig_1.7,23,308,0.48121917315758,1669
Supercontig_1.7,24,298,0.589301047120421,1528
Supercontig_1.7,25,315,0.468327560521413,1611
Supercontig_1.7,26,287,0.43554660246121,1869
Supercontig_1.7,27,299,0.442313193228258,1713
Supercontig_1.7,28,299,0.461142657342658,1573
Supercontig_1.7,29,305,0.405214994487325,1814
Supercontig_1.7,30,316,0.431206411024563,1669
Supercontig_1.7,31,318.5,0.680701810747663,1712
Supercontig_1.7,32,303,0.453601243008082,1609
Supercontig_1.7,33,303,0.420121289177996,1691
Supercontig_1.7,34,309,0.425745945945947,1628
Supercontig_1.7,35,305,0.422246274777852,1463
Supercontig_1.7,36,309,0.425735432098769,1620
Supercontig_1.7,37,321,0.437692557848655,1599
Supercontig_1.7,38,300,0.515440835102618,1413
Supercontig_1.7,39,299,0.465301614086574,1363
Supercontig_1.7,40,300,0.42476670799752,1613
Supercontig_1.7,41,303,0.551942003733667,1607
Supercontig_1.7,42,292,0.582854101440202,1597
Supercontig_1.7,43,303,0.603892795614725,1277
Supercontig_1.7,44,314,0.660129522752497,1802
Supercontig_1.7,45,313,0.662463012677103,1341
Supercontig_1.7,46,305.5,0.380610858895707,1630
Supercontig_1.7,47,302,0.476726793650794,1575
Supercontig_1.7,48,298,0.433408076448827,1622
Supercontig_1.7,49,301,0.375641346153846,1560
Supercontig_1.7,50,295,0.494770451612901,1550
Supercontig_1.7,51,272,0.383048727057428,1689
Supercontig_1.7,52,305,0.388678163134233,1557
Supercontig_1.7,53,307,0.465178815628815,1638
Supercontig_1.7,54,301,0.511297912713475,1581
Supercontig_1.7,55,315,0.475073684210525,1482
Supercontig_1.7,56,281.5,0.383671274038462,1664
Supercontig_1.7,57,289,0.460794993045897,1438
Supercontig_1.7,58,299,0.48480840277778,1440
Supercontig_1.7,59,316,0.39009251870324,1604
Supercontig_1.7,60,325,0.377212859884836,1563
Supercontig_1.7,61,312,0.416188295687886,1461
Supercontig_1.7,62,302,0.432911291369242,1541
Supercontig_1.7,63,313,0.44613663434903,1444
Supercontig_1.7,64,287,0.435518487394957,1547
Supercontig_1.7,65,288,0.45554141935484,1550
Supercontig_1.7,66,297,0.438913146417447,1605
Supercontig_1.7,67,302,0.477206881720429,1395
Supercontig_1.7,68,293,0.387807459867799,1059
Supercontig_1.7,69,290,0.418415278969955,1165
Supercontig_1.7,70,300,0.438448841961854,1468
Supercontig_1.7,71,310,0.439688282387191,1374
Supercontig_1.7,72,308,0.428612271540471,1532
Supercontig_1.7,73,307,0.419151112656465,1438
Supercontig_1.7,74,301,0.437100958904111,1460
Supercontig_1.7,75,296,0.431920309050772,1359
Supercontig_1.7,76,305,0.431886610288935,1419
Supercontig_1.7,77,297,0.455460211500333,1513
Supercontig_1.7,78,303,0.430153434562545,1383
Supercontig_1.7,79,303.5,0.428484173669467,1428
Supercontig_1.7,80,311,0.42120807142857,1400
Supercontig_1.7,81,314,0.425956465517238,1392
Supercontig_1.7,82,315,0.423617923186343,1406
Supercontig_1.7,83,308,0.400182633451955,1405
Supercontig_1.7,84,208,0.431180050825921,1574
Supercontig_1.7,85,265.5,0.403202614379082,1530
Supercontig_1.7,86,300.5,0.513328602305477,1388
Supercontig_1.7,87,266.5,0.417377710843371,1494
Supercontig_1.7,88,304,0.510546854182086,1351
Supercontig_1.7,89,289.5,0.483482198142414,1292
Supercontig_1.7,90,273.5,0.395184139402559,1406
Supercontig_1.7,91,302.5,0.544186024844721,1288
Supercontig_1.7,92,276,0.424749162479061,1194
Supercontig_1.7,93,310,0.431018443579768,1285
Supercontig_1.7,94,305,0.436327196969696,1320
Supercontig_1.7,95,296,0.495644417277912,1227
Supercontig_1.7,96,282,0.480620285969616,1119
Supercontig_1.7,97,303.5,0.578350604229608,1324
Supercontig_1.7,98,285,0.421068853754939,1265
Supercontig_1.7,99,284,0.497398492063493,1260
Supercontig_1.7,100,299,0.477190658001626,1231
Supercontig_1.7,101,292,0.426011155698234,1246
Supercontig_1.7,102,309,0.44847656612529,1293
Supercontig_1.7,103,309,0.478318782479584,1347
Supercontig_1.7,104,300,0.453731216931215,1323
Supercontig_1.7,105,292,0.428994939415536,1403
Supercontig_1.7,106,299,0.457624850042844,1167
Supercontig_1.7,107,325,0.386883849259757,743
Supercontig_1.7,108,307,0.507611251980981,1262
Supercontig_1.7,109,309,0.552704069767441,1204
Supercontig_1.7,110,309,0.437164864864864,1258
Supercontig_1.7,111,279,0.426464387678436,1331
Supercontig_1.7,112,292,0.444106277695716,1354
Supercontig_1.7,113,300,0.444253242594075,1249
Supercontig_1.7,114,305,0.433563367916999,1253
Supercontig_1.7,115,301,0.470274957841484,1186
